Tipo,T [°C],CO2 Concentration [a.u.]
REF,309.4,2.36E-05
REF,310.1,2.16E-05
REF,310.6,2.15E-05
REF,311.2,2.07E-05
REF,311.9,2.32E-05
REF,312.4,1.95E-05
REF,313.3,1.98E-05
REF,313.8,1.85E-05
REF,314.6875609,2.23E-05
REF,315.3,1.75E-05
REF,316,1.98E-05
REF,316.7,1.62E-05
REF,317.2,2.02E-05
REF,317.9,1.58E-05
REF,318.3,1.65E-05
REF,319,1.67E-05
REF,319.7,1.48E-05
REF,320.3,1.46E-05
REF,321.1,1.72E-05
REF,321.7,1.44E-05
REF,322.4,1.29E-05
REF,323,1.23E-05
REF,323.8,1.13E-05
REF,324.4,1.44E-05
REF,324.9,1.22E-05
REF,325.5,9.10E-06
REF,326.3961626,1.12E-05
REF,326.7,1.27E-05
REF,327.4,9.99E-06
REF,328.1,1.02E-05
REF,328.9,1.07E-05
REF,329.4,9.00E-06
REF,330.2,1.00E-05
REF,331,9.91E-06
REF,331.4,7.19E-06
REF,332.1,4.71E-06
REF,332.5,6.76E-06
REF,333.2,7.14E-06
REF,333.6,4.27E-06
REF,334.4,4.94E-06
REF,335.2,3.22E-06
REF,335.8,5.88E-06
REF,336.6,6.97E-06
REF,337.1,3.25E-06
REF,337.8,6.84E-07
REF,338.4,3.79E-06
REF,338.9,2.12E-06
REF,339.5,3.26E-06
REF,340,1.07E-06
REF,340.7,1.30E-06
REF,341.2,4.10E-06
REF,341.9,7.34E-07
REF,342.8,3.19E-06
REF,343.3,-3.84E-07
REF,344.1,-4.10E-07
REF,344.7,-2.03E-06
REF,345.4,1.27E-06
REF,345.9,-3.24E-06
REF,346.5,-1.92E-06
REF,347.1,1.26E-06
REF,347.6,-5.10E-06
REF,348.3,-5.19E-06
REF,348.8,-7.69E-07
REF,349.6,-7.37E-07
REF,350.4,-2.16E-06
REF,351,-3.02E-06
REF,351.7,-4.09E-06
REF,352.4,-4.68E-06
REF,352.9,-5.39E-06
REF,353.5,-4.42E-06
REF,353.9,-4.10E-06
REF,354.6,-4.10E-06
REF,355.1,-4.30E-06
REF,355.8,-4.54E-06
REF,356.6,-7.02E-06
REF,357.2,-8.15E-06
REF,358.1,-4.75E-06
REF,358.6,-7.92E-06
REF,359.3,-4.51E-06
REF,360,-6.88E-06
REF,360.5,-3.12E-06
REF,361.1,-6.57E-06
REF,361.5,-6.29E-06
REF,362.3,-5.85E-06
REF,362.9,-5.52E-06
REF,363.5,-6.55E-06
REF,364.6242472,-8.84E-06
REF,364.9,-1.11E-05
REF,365.7,-5.88E-06
REF,366.2,-8.88E-06
REF,367.0260117,-4.93E-06
REF,367.6,-4.26E-06
REF,368,-6.76E-06
REF,368.6,-7.42E-06
REF,369.1,-4.26E-06
REF,369.8,-8.00E-06
REF,370.6,-3.79E-06
REF,371.2,-5.72E-06
REF,372.1,-7.95E-06
REF,373.030423,-3.67E-06
REF,373.5,-5.89E-06
REF,374,-7.47E-06
REF,374.7,-5.22E-06
REF,375.3,-6.14E-06
REF,375.7,-9.63E-06
REF,376.4,-4.84E-06
REF,377.833952,-8.87E-06
REF,378.4343931,-7.54E-06
REF,378.5,-6.01E-06
REF,379.1,-4.91E-06
REF,380,-8.98E-06
REF,380.5,-7.36E-06
REF,381.3,-5.90E-06
REF,381.9,-4.51E-06
REF,382.4,-4.12E-06
REF,383,-7.75E-06
REF,383.4,-8.12E-06
REF,384.1,-5.05E-06
REF,384.6,-5.30E-06
REF,385.5,-4.09E-06
REF,386.3,-5.36E-06
REF,386.9,-7.15E-06
REF,387.7,-6.70E-06
REF,388.5,-4.49E-06
REF,389.2423334,-6.18E-06
REF,389.6,-7.68E-06
REF,390.1,-2.74E-06
REF,390.6,-9.88E-06
REF,391.1,-5.92E-06
REF,391.9,-5.25E-06
REF,393.8457155,-6.26E-06
REF,393.3,-6.26E-06
REF,394.1,-4.36E-06
REF,394.7,-5.49E-06
REF,395.4,-5.94E-06
REF,396.1,-3.84E-06
REF,396.5,-7.30E-06
REF,397.9487299,-6.37E-06
REF,397.6,-4.27E-06
REF,398.3,-2.37E-06
REF,398.8,-2.28E-06
REF,399.6,-4.11E-06
REF,400.4,-3.35E-06
REF,401,-6.35E-06
REF,401.9,-4.43E-06
REF,402.4,1.01E-06
REF,403.2,-3.54E-06
REF,403.8,-3.69E-06
REF,404.2,-5.30E-06
REF,404.8,-4.06E-06
REF,405.3,-2.73E-06
REF,406,-1.60E-06
REF,406.6,-2.81E-06
REF,407.5,-3.49E-06
REF,408.3,-3.96E-06
REF,408.9,-1.58E-06
REF,409.7,-3.10E-06
REF,410.2,-3.78E-06
REF,410.8,-3.72E-06
REF,411.4,-2.87E-06
REF,411.9,-2.20E-06
REF,412.6,-2.02E-06
REF,413.1,-2.01E-06
REF,413.9,-1.04E-07
REF,414.5,5.39E-07
REF,415.3,3.55E-07
REF,416.2,4.76E-07
REF,416.8,5.50E-07
REF,417.5,5.66E-07
REF,418,-2.54E-06
REF,418.6,-5.46E-07
REF,419.1,-8.01E-07
REF,419.6,3.26E-07
REF,420.4,-2.82E-06
REF,420.9,-7.93E-07
REF,421.7,8.26E-07
REF,422.4,7.45E-07
REF,423.2,-1.75E-06
REF,424,-2.40E-08
REF,424.5,-1.07E-07
REF,425.2,4.05E-07
REF,425.8692425,2.96E-07
REF,426.2,1.08E-06
REF,427.2702718,6.74E-09
REF,427.3,1.62E-06
REF,428.1,7.58E-07
REF,428.7,2.04E-06
REF,429.6,3.96E-06
REF,430.4,4.55E-06
REF,431,2.54E-06
REF,431.6735067,9.74E-07
REF,432.1,2.48E-06
REF,432.7,-5.91E-07
REF,433.2,2.06E-06
REF,434.1753448,1.72E-06
REF,434.5,3.19E-06
REF,435.1,2.76E-06
REF,435.9,-9.64E-08
REF,436.6,4.05E-06
