TOS_REF[h],X_CH4_REF [%],X_CO2_REF [%],,TOS_1Mn [h],X_CH4_1Mn [%],X_CO2_1Mn [%],,TOS_0.5Mn [h],X_CH4_0.5Mn [%],X_CO2_0.5Mn [%],,TOS_0.25Mn [h],X_CH4_0.25Mn [%],X_CO2_0.25 Mn [%],,TOS_1Cr [h],X_CH4_1Cr [%],X_CO2_1Cr [%],,TOS-0.5Cr [h],X_CH4_0.5Cr [%],X_CO2_0.5Cr [%],,TOS_0.25Cr [h],X_CH4_0.25Cr [%],X_CO2_0.25Cr [%],,TOS_1Fe [h],X_CH4_1Fe [%],X_CO2_1Fe [%],,TOS_0.5Fe [h],X_CH4_0.5Fe [%],X_CO2_0.5Fe [%],,TOS_0.25Fe [h],X_CH4_0.25Fe [%],X_CO2_0.25Fe [%]
5.32278,26.71715,37.8265,,5.32333,35.26944,47.2366,,5.3225,37.31867,49.12395,,5.32278,33.61693,44.57393,,5.32306,36.20773,48.05921,,5.32333,36.08588,48.15303,,5.32306,35.7409,46.81463,,5.32333,30.4708,43.67156,,5.32306,39.90427,52.90837,,5.46444,40.29548,52.80104
5.46444,26.8224,37.5836,,5.465,35.30015,46.88828,,5.46417,37.22009,49.03057,,5.46472,33.33279,44.6347,,5.46472,36.11439,47.82382,,5.46472,35.8264,48.21239,,5.46472,35.6578,46.75287,,5.465,30.45044,43.65065,,5.46472,40.08228,52.82326,,5.60583,40.19724,52.50398
5.60583,26.60874,37.57126,,5.60639,35.26144,47.05145,,5.60583,37.18808,49.03176,,5.60611,33.31177,44.42921,,5.60639,36.01204,47.84185,,5.60639,35.77491,48.00621,,5.60639,35.45598,46.62495,,5.60639,30.16176,43.54618,,5.60639,40.07311,52.74447,,5.7475,40.07094,52.73682
5.7475,26.54722,37.30219,,5.74806,35.14712,46.98124,,5.7475,37.18983,49.00231,,5.74778,33.48129,44.32866,,5.74806,36.04483,47.76385,,5.74806,35.70574,47.77128,,5.74778,35.37218,46.53676,,5.74806,30.20368,43.15984,,5.74806,39.99704,52.81936,,5.88944,40.26617,52.49887
5.88944,26.47968,37.32047,,5.88972,35.1585,46.98103,,5.88889,37.07506,48.88105,,5.88972,33.17218,44.34661,,5.88944,35.89733,47.81587,,5.88972,35.78772,47.83157,,5.88972,35.36394,46.41403,,5.88944,30.25019,43.48467,,5.88944,40.04345,52.91958,,6.03111,40.03084,52.53371
6.03056,26.37687,37.26179,,6.03139,35.18385,46.75802,,6.03083,37.01984,48.85736,,6.03139,33.08019,44.19141,,6.03111,35.84609,47.58012,,6.03139,35.48593,47.7347,,6.03139,35.31999,46.32732,,6.03111,30.14054,43.48979,,6.03083,39.95352,52.81011,,6.1725,39.99512,52.37893
6.1725,26.26652,37.19946,,6.1725,35.10601,46.80957,,6.1725,36.92166,48.67732,,6.17278,33.29135,43.9096,,6.17278,35.78616,47.45824,,6.1725,35.39612,47.62375,,6.1725,35.12531,46.24495,,6.1725,30.43757,43.33465,,6.17278,40.02624,52.60673,,6.31417,39.96545,52.36392
6.31417,26.06317,37.1079,,6.31417,35.06954,46.71121,,6.31417,36.91439,48.80526,,6.31444,32.66193,43.92223,,6.31417,35.25315,47.54028,,6.31417,35.64224,47.53538,,6.31417,34.71665,46.23176,,6.31417,30.22633,43.4118,,6.31417,39.99713,52.65475,,6.45611,39.94756,52.27279
6.45583,26.07044,36.92706,,6.45583,35.01532,46.64615,,6.45583,36.801,48.6323,,6.45556,32.58053,44.08847,,6.45583,35.52457,47.26921,,6.45583,35.35144,47.2758,,6.45611,34.9125,45.9915,,6.45583,30.31287,43.39749,,6.45556,40.01765,52.77744,,6.59778,39.8105,52.25513
6.5975,26.00871,36.92656,,6.5975,35.05946,46.63433,,6.59722,36.84377,48.49419,,6.59722,32.84004,44.10237,,6.5975,35.51327,47.31938,,6.59722,35.11528,47.32625,,6.5975,34.78506,45.8592,,6.59722,30.36522,43.56538,,6.5975,39.98405,52.69189,,6.73917,39.78007,52.25007
6.73917,25.96487,36.81897,,6.73917,34.86939,46.68946,,6.73917,36.72892,48.52106,,6.73917,32.61061,43.773,,6.73889,35.39339,47.20148,,6.73889,35.01578,47.19797,,6.73889,34.72073,45.70474,,6.73889,30.33934,43.4394,,6.73917,39.91918,52.43733,,6.88083,39.75875,52.11783
6.88056,25.85895,36.82966,,6.88056,34.84863,46.61744,,6.88056,36.59373,48.56477,,6.88056,32.61706,43.54628,,6.88056,35.37945,47.16815,,6.88056,34.98937,47.24241,,6.88083,34.57046,45.67111,,6.88083,30.3968,43.32691,,6.88056,39.89117,52.58906,,7.02222,39.75344,52.07795
7.02222,25.83517,36.64239,,7.02222,34.78267,46.51008,,7.02194,36.61338,48.39138,,7.02222,32.60776,43.50039,,7.02222,35.21983,46.98127,,7.02222,34.81869,46.88693,,7.02222,34.54282,45.63081,,7.0225,30.312,43.42632,,7.02222,39.92581,52.61902,,7.16361,39.6536,52.15567
7.16389,25.68393,36.51934,,7.16389,34.70851,46.40585,,7.16361,36.63584,48.43213,,7.16417,32.438,43.46318,,7.16389,35.11193,47.07039,,7.16389,34.61304,46.82747,,7.16389,34.42851,45.43955,,7.16389,30.26818,43.61641,,7.16417,39.8756,52.57191,,7.30528,39.57159,52.0543
7.30528,25.66128,36.55544,,7.30556,34.64703,46.33229,,7.30528,36.43199,48.24339,,7.30583,32.19117,43.34773,,7.30556,35.07005,46.88405,,7.30528,34.69098,46.98087,,7.30556,34.3493,45.41789,,7.30556,30.34737,43.41081,,7.30528,39.82919,52.50467,,7.44694,39.63888,51.95473
7.44667,25.61926,36.48748,,7.44694,34.51787,46.41676,,7.44694,36.49026,48.31023,,7.44722,32.20459,43.423,,7.44694,34.98174,46.75124,,7.44694,34.67132,46.70563,,7.44694,34.10745,45.32917,,7.44694,30.31608,43.47812,,7.44694,39.84606,52.57752,,7.58833,39.51447,52.05982
