TOS_30H2_CO2 [h],X_CH4_30H2_CO2 [%],X_CO2_30H2_CO2 [%],,TOS_4CO2 [h],X_CH4_4CO2 [%],X_CO2_4CO2 [%],,TOS_30CO2 [h],X_CH4_30CO2 [%],X_CO2_30CO2 [%],,TOS_60CO2 [h],X_CH4_60CO2 [%],X_CO2_60CO2 [%]
13.39444,23.80848,34.39794,,13.39472,24.27433,34.43034,,13.39444,24.57179,34.94493,,13.39472,26.82979,37.47972
13.53611,23.81514,34.49295,,13.53639,24.0874,34.45593,,13.53639,24.32759,34.82025,,13.53639,26.80879,37.66961
13.67806,23.73561,34.37305,,13.67806,24.06183,34.40897,,13.67778,24.27214,34.81336,,13.67806,26.80731,37.57654
13.81944,23.62014,34.27004,,13.81972,24.08303,34.42049,,13.81944,24.31222,34.89912,,13.81972,26.77957,37.59139
13.96111,23.78679,34.31139,,13.96111,24.06694,34.45433,,13.96111,24.27501,34.80108,,13.96111,26.74931,37.5042
14.10278,23.64071,34.26416,,14.10306,23.9836,34.21181,,14.1025,24.29713,34.87523,,14.1025,26.74768,37.46644
14.24444,23.61369,34.28451,,14.24444,24.01006,34.32094,,14.24417,24.19804,34.61271,,14.24417,26.68978,37.417
14.38611,23.60811,34.20107,,14.38611,23.95516,34.36523,,14.38583,24.13527,34.54032,,14.38583,26.62469,37.45116
14.52778,23.5076,34.10339,,14.52778,23.87736,34.28663,,14.5275,24.13573,34.67673,,14.5275,26.58317,37.33776
14.66917,23.58059,34.12124,,14.66944,23.9718,34.33387,,14.66917,24.16179,34.73249,,14.66917,26.58448,37.3106
14.81056,23.50812,34.03051,,14.81111,24.1296,34.13561,,14.81083,24.06768,34.70458,,14.81056,26.4645,37.27366
14.95222,23.47954,34.06938,,14.95278,23.88352,34.22742,,14.95278,24.13446,34.52363,,14.95222,26.53885,37.14622
15.09389,23.45115,34.0397,,15.09417,23.84923,33.99944,,15.09389,24.01975,34.68058,,15.09417,26.47684,37.34898
15.23528,23.4356,33.94506,,15.23556,23.84499,34.23624,,15.23583,24.00843,34.46498,,15.23556,26.41791,37.23217
15.37694,23.5196,33.98744,,15.37722,23.74593,34.11733,,15.3775,24.03901,34.54938,,15.37722,26.44506,37.06949
15.51889,23.49129,33.86155,,15.51889,23.66775,34.01797,,15.51917,24.13561,34.35995,,15.51889,26.33135,37.10956
15.66056,23.30359,33.89963,,15.66056,23.76411,34.01387,,15.66028,24.00616,34.34308,,15.66083,26.31394,36.98386
15.80194,23.28622,33.99675,,15.8025,23.65085,34.15036,,15.80222,23.98608,34.52254,,15.80194,26.32945,37.17837
15.94361,23.2009,33.83276,,15.94389,23.61307,33.78394,,15.94389,23.90545,34.27151,,15.94389,26.34437,37.20445
16.08556,23.1915,33.77725,,16.08528,23.60023,33.98092,,16.08528,23.94041,34.15249,,16.08556,26.26035,37.02803
16.22694,23.21431,33.69423,,16.22694,23.51719,33.89226,,16.22667,23.78485,34.21308,,16.22667,26.18658,37.04731
16.36889,23.2122,33.69218,,16.36833,23.61359,33.75986,,16.36861,23.84165,34.16923,,16.36833,26.2586,36.9789
16.51028,23.2161,33.79733,,16.51028,23.45568,33.74122,,16.51,23.85922,34.41102,,16.51,26.11566,36.85219
16.65194,23.17343,33.50476,,16.65194,23.42447,33.76037,,16.65167,23.74286,34.20215,,16.65167,26.14844,36.91902
16.79361,23.16208,33.66189,,16.79361,23.49567,33.73373,,16.79306,23.74169,34.12594,,16.79306,26.01862,36.79937
16.93472,23.07187,33.69041,,16.935,23.57079,33.69052,,16.93472,23.75601,34.29929,,16.93472,26.06729,36.86261
17.07639,23.02809,33.64544,,17.07694,23.37975,33.69819,,17.07639,23.71446,34.00438,,17.07667,26.03221,36.80446
17.21806,23.06986,33.59126,,17.21833,23.4796,33.68878,,17.21806,23.70675,34.26933,,17.21833,26.01967,36.8283
17.35944,23.09759,33.59968,,17.35972,23.34788,33.76346,,17.35972,23.69905,34.09072,,17.35972,25.98607,36.58354
17.50139,23.01088,33.62357,,17.50139,23.37954,33.66795,,17.50139,23.70674,34.03108,,17.50139,25.95575,36.78417
17.78472,22.92777,33.34755,,17.64278,23.41577,33.6632,,17.64306,23.60066,33.99134,,17.64333,25.98911,36.77532
17.92611,22.95298,33.45735,,17.78444,23.36094,33.53699,,17.785,23.59764,34.08701,,17.78472,26.04703,36.61781
18.06778,23.02481,33.32068,,17.92639,23.36017,33.65921,,17.92611,23.72371,34.04458,,17.92639,25.88419,36.42415
18.20917,22.84304,33.48209,,18.06806,23.24539,33.53108,,18.06806,23.70651,33.81871,,18.06778,25.86021,36.58265
18.35083,22.84179,33.47056,,18.20944,23.32346,33.55034,,18.20972,23.57573,33.94827,,18.20944,25.91609,36.75852
18.4925,22.92193,33.44031,,18.35111,23.22297,33.50011,,18.35083,23.6121,34.09245,,18.35083,25.87784,36.70117
18.63417,22.72618,33.35495,,18.4925,23.27029,33.44734,,18.4925,23.49095,33.8298,,18.4925,25.85154,36.41979
18.77583,22.8165,33.40273,,18.63417,23.20525,33.64839,,18.63417,23.49066,33.93012,,18.63417,25.86309,36.55705
18.91722,22.91343,33.25565,,18.77583,23.19401,33.40775,,18.77583,23.46898,33.908,,18.77583,25.70748,36.5931
19.05917,22.71281,33.3092,,18.9175,23.17063,33.40874,,18.91722,23.52542,33.91563,,18.91778,25.79246,36.48653
19.20083,22.70507,33.11296,,19.05917,23.23355,33.44771,,19.05917,23.46582,33.97898,,19.05944,25.76733,36.33429
19.3425,22.69724,33.14332,,19.20083,23.17294,33.41166,,19.20083,23.36146,33.81304,,19.20083,25.76277,36.39768
19.48389,22.80905,33.15242,,19.3425,23.15832,33.37352,,19.34222,23.30045,33.64525,,19.3425,25.78065,36.41706
19.62583,22.69828,33.20453,,19.48389,23.04505,33.33966,,19.48389,23.44802,33.85292,,19.48417,25.64677,36.40769
19.76722,22.70724,33.11491,,19.62556,23.06219,33.30138,,19.62528,23.37152,33.70653,,19.62583,25.68877,36.44084
19.90889,22.59698,33.13104,,19.76694,23.14303,33.273,,19.76694,23.37172,33.70675,,19.76722,25.70687,36.37686
20.05028,22.65446,33.1415,,19.90861,22.99687,33.32842,,19.90861,23.32596,33.83938,,19.90889,25.62671,36.29668
20.19194,22.62177,33.00418,,20.05028,22.69385,32.97023,,20.05028,23.26215,33.65957,,20.05056,25.61406,36.40755
20.33361,22.58591,33.09904,,20.19194,22.48526,32.6935,,20.19194,23.22041,33.70427,,20.19222,25.53181,36.42888
20.475,22.49517,33.12148,,20.33361,22.45415,32.83921,,20.33333,23.19039,33.5095,,20.33361,25.59831,36.17577
20.61667,22.49048,33.01188,,20.47528,22.5696,32.63182,,20.475,23.11619,33.60925,,20.475,25.39528,36.20397
20.75833,22.53675,33.13171,,20.61694,22.42786,32.49802,,20.61667,23.13088,33.56488,,20.61667,25.44074,36.07491
20.89972,22.51428,32.78074,,20.75861,22.64691,32.75369,,20.75833,23.23744,33.39338,,20.75833,25.52862,36.17592
21.04139,22.48036,32.93819,,20.9,22.45538,32.85737,,20.89972,23.24006,33.37282,,20.9,25.52568,36.04367
21.18333,22.56784,32.81938,,21.04167,22.43972,32.53424,,21.04139,23.1786,33.28472,,21.04139,25.48402,36.02554
21.325,22.41011,32.90411,,21.18333,22.45295,32.61541,,21.18333,23.14721,33.51866,,21.18306,25.41177,35.9955
21.46639,22.45849,32.97903,,21.325,22.41124,32.58828,,21.325,23.10793,33.50068,,21.32472,25.42875,35.98573
21.60806,22.51542,32.89965,,21.46694,22.43086,32.52479,,21.46639,23.01831,33.45053,,21.46639,25.48902,36.05273
21.75,22.43741,33.00459,,21.60806,22.29028,32.46863,,21.60806,23.02604,33.47526,,21.60833,25.44053,35.97726
21.89167,22.36684,32.80464,,21.74972,22.39235,32.64997,,21.74972,23.04536,33.42308,,21.74944,25.2819,36.00043
22.03306,22.32714,32.91481,,21.89167,22.34709,32.40272,,21.89139,23.00665,33.43959,,21.89139,25.31544,35.86387
22.17472,22.31195,32.68206,,22.03333,22.32664,32.34031,,22.03306,22.93444,33.315,,22.03333,25.31862,35.75183
22.31611,22.37534,32.70128,,22.17444,22.31885,32.56197,,22.17472,23.00512,33.12719,,22.17472,25.14839,35.94164
22.45778,22.39183,32.63868,,22.31611,22.13362,32.39182,,22.31611,22.95944,33.37486,,22.31639,25.19669,35.784
22.59944,22.29004,32.60276,,22.45778,22.37794,32.62498,,22.45806,22.91707,33.23326,,22.45806,25.12456,35.86688
22.74111,22.3489,32.62377,,22.59917,22.20725,32.44213,,22.59917,22.89184,33.172,,22.59917,25.06199,35.96519
22.8825,22.36039,32.75458,,22.74083,22.2566,32.32976,,22.74083,22.9133,33.23356,,22.74083,25.20161,35.76388
23.02444,22.26818,32.67551,,22.8825,22.35967,32.31379,,22.88278,22.93197,33.25055,,22.8825,25.13799,35.80571
23.16583,22.35774,32.66094,,23.02417,22.19359,32.33434,,23.02417,22.98949,33.32861,,23.02389,25.15826,35.86385
23.3075,22.25685,32.56855,,23.16583,22.21921,32.32216,,23.16611,22.81355,33.17586,,23.16556,25.1822,35.72364
23.44917,22.28491,32.65511,,23.30722,22.2079,32.35204,,23.3075,22.91093,33.23087,,23.30722,25.14194,35.61427
23.59056,22.17821,32.67988,,23.44889,22.16771,32.36862,,23.44889,22.88835,33.31717,,23.44917,25.12184,35.80726
23.73222,22.11747,32.45342,,23.59056,22.11159,32.31939,,23.59056,22.80063,33.41165,,23.59056,24.9574,35.65092
23.87361,22.15044,32.6763,,23.73222,22.2625,32.31998,,23.7325,22.84737,33.25162,,23.7325,25.07565,35.7031
24.01528,,,,23.87389,22.15766,32.25066,,23.87417,22.97433,33.01716,,23.87389,24.96527,35.70647
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
