Tipo,TOS [h],X_CH4 [%],X_CO2 [%]
0.5Mn,16.79361,38.0288,50.29978
0.5Mn,16.93472,38.1001,50.27733
0.5Mn,17.07639,38.05291,50.12943
0.5Mn,17.21806,38.05888,50.21952
0.5Mn,17.35972,37.398,49.61433
0.5Mn,17.50111,37.31082,49.61111
0.5Mn,17.64306,37.34592,49.42617
0.5Mn,17.78472,37.16723,49.4512
0.5Mn,17.92639,37.29309,49.41319
0.5Mn,18.06806,37.17068,49.30345
0.5Mn,18.20944,37.17279,49.23314
0.5Mn,18.35111,37.1188,49.37687
0.5Mn,18.49278,37.21894,49.17432
0.5Mn,18.63417,37.01965,49.3115
0.5Mn,18.77583,36.83113,48.93718
0.5Mn,18.91778,36.71392,48.74803
0.5Mn,19.05944,36.68475,48.87525
0.5Mn,19.20083,36.64389,48.79681
0.5Mn,19.34222,36.66442,48.8624
0.5Mn,19.48389,36.63741,48.60693
0.5Mn,19.62528,36.68754,48.5646
0.5Mn,19.76694,36.55976,48.60503
0.5Mn,19.90861,36.59279,48.57646
0.5Mn,20.05028,36.55949,48.67272
0.5Mn,20.19194,36.46096,48.37845
0.5Mn,20.33361,36.43442,48.30376
0.5Mn,20.47528,36.41097,48.43857
0.5Mn,20.61694,36.39494,48.39665
0.5Mn,20.75833,36.37876,48.33702
0.5Mn,20.9,36.37986,48.46385
0.5Mn,21.04167,36.32402,48.33182
0.5Mn,21.18333,36.27069,48.39945
0.5Mn,21.325,36.19813,48.24368
0.5Mn,21.46639,36.22522,48.18642
0.5Mn,21.60806,36.18494,48.1976
0.5Mn,21.75,36.15458,48.21237
0.5Mn,21.89111,36.0784,48.09848
0.5Mn,22.03278,36.09641,48.10319
0.5Mn,22.17444,36.08716,48.15045
0.5Mn,22.31611,36.02592,47.92713
0.5Mn,22.45778,36.00878,47.90138
0.5Mn,22.59917,35.99723,47.97817
0.5Mn,22.74083,35.88087,47.84181
0.5Mn,22.8825,35.89292,47.97178
0.5Mn,23.02389,36.03726,47.85844
0.5Mn,23.16556,35.97372,47.86985
0.5Mn,23.30778,35.84585,47.83538
0.5Mn,23.44917,35.80094,47.90334
0.5Mn,23.59083,35.83118,47.71095
0.5Mn,23.73222,35.76542,47.81836
0.25Mn,0.08333,42.35968,53.44222
0.25Mn,0.22528,41.75573,52.82443
0.25Mn,0.36694,41.36988,52.27423
0.25Mn,0.50833,40.38187,51.55393
0.25Mn,0.65,40.08597,51.17916
0.25Mn,0.79139,39.82835,50.84775
0.25Mn,0.93306,39.16377,50.11769
0.25Mn,1.075,38.88558,49.76925
0.25Mn,1.21639,38.64968,49.50923
0.25Mn,1.35778,38.34691,49.10439
0.25Mn,1.49944,38.06023,48.7983
0.25Mn,1.64111,37.78551,48.5189
0.25Mn,1.7825,37.65875,48.38662
0.25Mn,1.92417,37.26154,48.22034
0.25Mn,2.06583,37.14369,47.95943
0.25Mn,2.20722,36.63392,47.34192
0.25Mn,2.34917,36.37275,47.3716
0.25Mn,2.49083,36.26326,47.02568
0.25Mn,2.6325,36.13166,46.78756
0.25Mn,2.77389,35.97023,46.65291
0.25Mn,2.91556,35.7091,46.516
0.25Mn,3.0575,35.61785,46.49569
0.25Mn,3.19917,35.43273,46.28838
0.25Mn,3.34056,35.13976,45.91721
0.25Mn,3.48194,35.09683,45.92136
0.25Mn,3.62389,34.8309,45.41308
0.25Mn,3.76528,34.63325,45.08211
0.25Mn,3.90722,34.45313,45.21534
0.25Mn,4.04861,34.38026,44.96716
0.25Mn,4.19,34.26898,44.97414
0.25Mn,4.33167,34.0323,44.74694
0.25Mn,4.47333,34.22205,44.61458
0.25Mn,4.61472,33.55556,44.4204
0.25Mn,4.75639,33.1583,43.87799
0.25Mn,4.89806,33.13689,43.65653
0.25Mn,5.03944,32.98914,43.58988
