Tipo,TOS_30H2_CO2 [h],X_CH4_30H2_CO2 [%],X_CO2_30H2_CO2 [%]
30CO2_C2,26.99056,6.62705,13.01408
30CO2_C2,27.13222,6.92148,13.63234
30CO2_C2,27.27389,7.19933,14.10421
30CO2_C2,27.41528,7.51239,14.15876
30CO2_C2,27.55694,7.60752,14.51943
30CO2_C2,27.69889,7.76375,15.03844
30CO2_C2,27.84056,7.8784,15.08874
30CO2_C2,27.98194,8.09065,15.37523
30CO2_C2,28.12361,8.11182,15.62053
30CO2_C2,28.26528,8.09659,15.59626
30CO2_C2,28.40667,8.35603,15.82904
30CO2_C2,28.54833,8.36968,15.97595
30CO2_C2,28.69,8.48831,16.22977
30CO2_C2,28.83167,8.68835,16.21206
30CO2_C2,28.97333,8.64936,16.34651
30CO2_C2,29.11444,8.80659,16.56888
30CO2_C2,29.25611,8.79324,16.69097
30CO2_C2,29.39806,8.8326,16.62239
30CO2_C2,29.53972,8.91258,16.60995
30CO2_C2,29.68111,8.79213,16.75009
30CO2_C2,29.8225,8.94924,16.92698
30CO2_C2,29.96444,9.04129,16.94549
30CO2_C2,30.10611,9.13873,16.87303
30CO2_C2,30.24778,8.99124,16.92104
30CO2_C2,30.38917,9.14481,16.96124
30CO2_C2,30.53111,9.06237,17.08102
30CO2_C2,30.67222,9.14199,17.12714
30CO2_C2,30.81389,9.16004,17.1685
30CO2_C2,30.95556,9.28364,17.23456
30CO2_C2,31.09694,9.27921,17.19647
30CO2_C2,31.23861,9.26468,17.39657
30CO2_C2,31.38028,9.22732,17.43895
30CO2_C2,31.52222,9.17832,17.39765
30CO2_C2,31.66361,9.2263,17.42947
30CO2_C2,31.80528,9.24503,17.30506
30CO2_C2,31.94694,9.33015,17.48333
30CO2_C2,32.08833,9.38992,17.47054
30CO2_C2,32.23,9.41589,17.68528
30CO2_C2,32.37167,9.4715,17.7669
30CO2_C2,32.51333,9.20784,17.72412
30CO2_C2,32.65472,9.40545,17.7416
30CO2_C2,32.79639,9.46683,17.51655
30CO2_C2,32.93806,9.28808,17.76455
30CO2_C2,33.07972,9.5108,17.4691
30CO2_C2,33.22111,9.46125,17.55185
30CO2_C2,33.36278,9.60541,17.83883
30CO2_C2,33.50444,9.73454,17.8096
30CO2_C2,33.64611,9.56031,17.87705
30CO2_C2,33.7875,9.51758,17.76431
30CO2_C2,33.92917,9.67605,17.76859
30CO2_C2,34.07083,9.52076,17.84238
30CO2_C2,34.2125,9.62693,17.67842
30CO2_C2,34.35417,9.66723,17.81947
30CO2_C2,34.49556,9.61724,17.79084
30CO2_C2,34.6375,9.58339,17.87856
30CO2_C2,34.77917,9.64851,17.85068
30CO2_C2,34.92056,9.62729,17.90909
30CO2_C2,35.06222,9.72141,17.94515
30CO2_C2,35.20361,9.74549,17.97277
30CO2_C2,35.34528,9.70186,18.04146
30CO2_C2,35.48667,9.75007,18.04143
30CO2_C2,35.62861,9.83802,18.0918
30CO2_C2,35.77028,9.70995,18.0773
30CO2_C2,35.91167,9.70264,18.00588
30CO2_C2,36.05333,9.76152,18.19251
30CO2_C2,36.19528,9.79026,18.14666
30CO2_C2,36.33667,9.71701,18.08377
30CO2_C2,36.47861,9.69227,18.03045
30CO2_C2,36.62,9.70181,18.18304
30CO2_C2,36.76139,9.66166,18.20705
30CO2_C2,36.90333,9.75103,18.21946
30CO2_C2,37.04472,9.71215,18.10591
30CO2_C2,37.18639,9.82691,18.32998
30CO2_C2,37.32806,9.83226,18.18282
30CO2_C2,37.46972,9.82831,18.08031
30CO2_C2,37.61139,9.76888,18.15792
30CO2_C2,37.75278,9.86167,18.28879
30CO2_C2,37.89417,9.70153,18.32362
30CO2_C2,38.03611,9.83158,18.30006
30CO2_C2,38.17778,9.7282,18.08353
30CO2_C2,38.31944,9.91161,18.31022
30CO2_C2,38.46083,9.80539,18.27697
30CO2_C2,38.60222,9.76003,18.18028
30CO2_C2,38.74389,9.93061,18.12466
30CO2_C2,38.88583,9.78887,18.34261
30CO2_C2,39.0275,9.74137,18.19409
30CO2_C2,39.16861,9.86118,18.32249
30CO2_C2,39.31028,9.93306,18.29023
30CO2_C2,39.45194,9.86084,18.26979
30CO2_C2,39.59361,9.91034,18.42593
30CO2_C2,39.87667,9.75815,18.55422
30CO2_C2,40.01833,9.81116,18.4101
30CO2_C2,40.16,9.91445,18.44757
30CO2_C2,40.30167,9.85806,18.42146
30CO2_C2,40.44361,9.82738,18.40001
30CO2_C2,40.60139,9.92,18.33157
30CO2_C2,40.74333,9.85358,18.33686
30CO2_C2,40.88472,9.92596,18.52464
30CO2_C2,41.02639,9.821,18.14243
30CO2_C2,41.16806,9.94749,18.38513
30CO2_C2,41.30944,9.93453,18.28715
30CO2_C2,41.45111,9.88451,18.36826
30CO2_C2,41.59278,9.99864,18.45097
30CO2_C2,41.73472,10.01492,18.36142
30CO2_C2,41.87611,9.92661,18.3014
30CO2_C2,42.01778,9.83271,18.3303
30CO2_C2,42.15944,9.97555,18.40895
30CO2_C2,42.30139,10.00423,18.26026
30CO2_C2,42.44278,9.93119,18.48067
30CO2_C2,42.58444,9.77029,17.96062
30CO2_C2,42.72611,9.67243,18.00904
30CO2_C2,42.8675,9.71162,18.18985
30CO2_C2,43.00917,9.68116,17.77034
30CO2_C2,43.15056,9.67109,17.86007
30CO2_C2,43.29222,9.73783,18.26188
30CO2_C2,43.43361,9.81674,18.21562
30CO2_C2,43.57528,9.647,18.02311
30CO2_C2,43.71722,9.72757,17.98412
30CO2_C2,43.85861,9.74661,17.94526
30CO2_C2,44.00028,9.70713,18.12197
30CO2_C2,44.14222,9.66045,18.10596
30CO2_C2,44.28361,9.70979,17.80862
30CO2_C2,44.42528,9.5267,17.75499
30CO2_C2,44.56694,9.69647,17.94962
30CO2_C2,44.70833,9.69074,17.9757
30CO2_C2,44.84972,9.63514,18.0018
30CO2_C2,44.99139,9.70823,17.92365
30CO2_C2,45.13306,9.77399,18.14658
30CO2_C2,45.27472,9.75372,18.21929
30CO2_C2,45.41639,9.72758,18.05364
30CO2_C2,45.55806,9.8433,18.0424
30CO2_C2,45.69972,9.66453,17.9924
30CO2_C2,45.84139,9.82675,17.78611
30CO2_C2,45.9825,9.75178,18.08665
30CO2_C2,46.12444,9.71885,18.12931
30CO2_C2,46.26611,9.91281,18.0047
30CO2_C2,46.40778,9.71503,17.92675
30CO2_C2,46.54944,9.74819,17.90691
30CO2_C2,46.69083,9.78764,18.21613
30CO2_C2,46.8325,9.75134,18.09279
30CO2_C2,46.97444,9.81676,17.86139
30CO2_C2,47.11556,9.76691,18.24234
30CO2_C2,47.25722,9.93453,17.94106
30CO2_C2,47.39917,9.65523,17.99148
30CO2_C2,47.54056,9.78472,18.00655
30CO2_C2,47.68194,9.83583,18.17667
30CO2_C2,47.82417,9.78836,18.04646
30CO2_C2,47.96528,9.77989,18.06637
30CO2_C2,48.10722,9.89543,18.13756
30CO2_C2,48.24889,9.77771,18.12588
30CO2_C2,48.39028,9.70136,18.14737
60CO2_C2,25.08333,-0.28481,-0.1411
60CO2_C2,25.22528,-0.17616,-0.11055
60CO2_C2,25.36639,-0.28993,-0.05232
60CO2_C2,25.50806,-0.20365,-0.16506
60CO2_C2,25.64972,-0.0712,0.02023
60CO2_C2,25.79111,-0.11727,0.15259
60CO2_C2,25.93278,0.07316,0.34814
60CO2_C2,26.07472,0.40656,1.13678
60CO2_C2,26.21639,1.10787,2.43976
60CO2_C2,26.35778,2.18671,4.73633
60CO2_C2,26.49972,3.32877,6.68407
60CO2_C2,26.64139,4.23755,8.58902
60CO2_C2,26.7825,5.00841,10.01297
60CO2_C2,26.92444,5.60511,11.42503
