TOS_REF[h],X_CH4_REF [%],X_CO2_REF [%],,TOS_1Mn [h],X_CH4_1Mn [%],X_CO2_1Mn [%],,TOS_0.5Mn [h],X_CH4_0.5Mn [%],X_CO2_0.5Mn [%],,TOS_0.25Mn [h],X_CH4_0.25Mn [%],X_CO2_0.25 Mn [%],,TOS_1Cr [h],X_CH4_1Cr [%],X_CO2_1Cr [%],,TOS-0.5Cr [h],X_CH4_0.5Cr [%],X_CO2_0.5Cr [%],,TOS_0.25Cr [h],X_CH4_0.25Cr [%],X_CO2_0.25Cr [%],,TOS_1Fe [h],X_CH4_1Fe [%],X_CO2_1Fe [%],,TOS_0.5Fe [h],X_CH4_0.5Fe [%],X_CO2_0.5Fe [%],,TOS_0.25Fe [h],X_CH4_0.25Fe [%],X_CO2_0.25Fe [%]
5.74778,26.69886,37.35892,,5.74778,35.41729,47.15772,,5.74806,34.2911,46.02723,,5.74806,33.57993,44.53969,,5.74778,36.74998,48.74578,,5.7475,32.39828,44.17064,,5.74778,34.80093,45.61061,,5.74778,29.80763,43.21886,,5.74778,41.02013,53.62935,,5.74806,41.73921,53.98833
5.88972,26.68345,37.31341,,5.88944,35.39748,46.88716,,5.88944,34.31673,46.17248,,5.88944,33.50699,44.48388,,5.88944,36.65121,48.72352,,5.88972,32.27702,44.07706,,5.88944,34.80802,45.33736,,5.88972,29.90677,43.25352,,5.88944,41.02543,53.70571,,5.88972,41.79251,54.08021
6.03111,26.64987,37.1366,,6.03111,35.29427,47.05641,,6.03111,34.21069,45.86381,,6.03139,33.45784,44.5163,,6.03139,36.5583,48.58951,,6.03083,32.35642,43.88456,,6.03111,34.57724,45.32659,,6.03083,29.97055,43.31092,,6.03111,41.11662,53.58491,,6.03083,41.68467,54.06793
6.17306,26.63022,37.13937,,6.17222,35.32602,46.96465,,6.17278,34.1044,46.01213,,6.17306,33.36977,44.35329,,6.17306,36.42711,48.58038,,6.1725,32.13971,43.85637,,6.1725,34.55994,45.10348,,6.17278,29.8969,43.34472,,6.17278,41.0567,53.65783,,6.1725,41.61739,53.96553
6.31389,26.55023,37.15939,,6.31389,35.31864,46.87518,,6.31444,34.10362,45.81445,,6.31472,33.20773,44.28876,,6.31444,36.39051,48.42076,,6.31417,32.03771,43.93137,,6.31417,34.46748,45.24964,,6.31444,29.94178,43.35651,,6.31417,41.01682,53.70316,,6.31417,41.52102,53.95796
6.45556,26.51346,37.00631,,6.45556,35.15645,46.83853,,6.45611,34.0922,45.75096,,6.45639,33.19845,44.09611,,6.45611,36.30872,48.48712,,6.45611,32.08961,43.66576,,6.45583,34.38765,44.93855,,6.45611,29.99914,43.28442,,6.45583,41.05626,53.71655,,6.45556,41.51015,53.80106
6.59722,26.36351,36.9057,,6.59722,35.08349,46.88472,,6.5975,33.92383,45.73589,,6.59806,33.06699,43.89253,,6.5975,36.25161,48.30881,,6.59778,31.77367,43.53404,,6.59722,34.32783,44.92758,,6.5975,29.9135,43.29418,,6.59778,41.01425,53.74678,,6.59722,41.60197,53.87231
6.73917,26.21681,36.8773,,6.73861,35.11849,46.90316,,6.73917,33.88614,45.68543,,6.73917,32.98659,44.02754,,6.73889,36.17942,48.17928,,6.73889,31.71093,43.54901,,6.73917,34.18192,44.88503,,6.73889,29.93298,43.24668,,6.73944,40.96444,53.48703,,6.73917,41.58351,53.74336
6.88083,26.24504,36.75614,,6.88028,35.0199,46.73342,,6.88083,33.84109,45.74315,,6.88083,32.77563,43.82718,,6.88056,36.03229,48.13424,,6.88083,31.68602,43.296,,6.88083,34.08201,44.78447,,6.88056,29.90224,43.29814,,6.88111,40.9658,53.67616,,6.88083,41.43985,53.7557
7.02222,26.13788,36.77225,,7.02222,35.05614,46.7936,,7.02278,33.7659,45.48316,,7.0225,32.7776,43.79174,,7.02222,35.97091,48.03618,,7.0225,31.74545,43.18207,,7.0225,33.92173,44.80382,,7.02222,29.99792,43.19759,,7.02222,41.0597,53.59593,,7.02222,41.45211,53.67128
