TOS [min],c_CO2 [vol%],c_CO [vol%],Degree of oxidation [%]
49.66667,9.40152,0.05261,86.43743
49.75,9.40667,0.05168,86.48456
49.83333,9.41785,0.05622,86.53333
49.91667,9.40629,0.04755,86.58023
50,9.43346,0.05728,86.62761
50.08333,9.39304,0.04729,86.67488
50.16667,9.41066,0.05266,86.72005
50.25,9.38069,0.04224,86.76294
50.33333,9.41875,0.05665,86.80764
50.41667,9.40725,0.05011,86.85589
50.5,9.42585,0.0543,86.90308
50.58333,9.43994,0.05962,86.95456
